Package                                                            Current          Wanted          Latest  Location                                                                              Depended by
@nextui-org/button                                                  2.0.37          2.0.37           2.2.9  node_modules/@nextui-org/button                                                       @nextui-org/date-picker
@nextui-org/button                                                  2.0.37          2.0.37           2.2.9  node_modules/@nextui-org/button                                                       @nextui-org/popover
@nextui-org/button                                                  2.0.37          2.0.37           2.2.9  node_modules/@nextui-org/button                                                       @nextui-org/react
@nextui-org/button                                                  2.0.37          2.0.37           2.2.9  node_modules/@nextui-org/button                                                       @nextui-org/snippet
@nextui-org/calendar                                                2.0.11          2.0.11           2.2.9  node_modules/@nextui-org/calendar                                                     @nextui-org/date-picker
@nextui-org/calendar                                                2.0.11          2.0.11           2.2.9  node_modules/@nextui-org/calendar                                                     @nextui-org/react
@nextui-org/card                                                    2.0.33          2.0.33           2.2.9  node_modules/@nextui-org/card                                                         @nextui-org/react
@nextui-org/checkbox                                                 2.1.4           2.1.4           2.3.8  node_modules/@nextui-org/checkbox                                                     @nextui-org/react
@nextui-org/checkbox                                                 2.1.4           2.1.4           2.3.8  node_modules/@nextui-org/checkbox                                                     @nextui-org/table
@nextui-org/chip                                                    2.0.32          2.0.32           2.2.6  node_modules/@nextui-org/chip                                                         @nextui-org/react
@nextui-org/code                                                    2.0.32          2.0.32           2.2.6  node_modules/@nextui-org/code                                                         @nextui-org/react
@nextui-org/date-input                                               2.1.3           2.1.3           2.3.8  node_modules/@nextui-org/date-input                                                   @nextui-org/date-picker
@nextui-org/date-input                                               2.1.3           2.1.3           2.3.8  node_modules/@nextui-org/date-input                                                   @nextui-org/react
@nextui-org/date-picker                                              2.1.6           2.1.6           2.3.9  node_modules/@nextui-org/date-picker                                                  @nextui-org/react
@nextui-org/divider                                                 2.0.31          2.0.31           2.2.5  node_modules/@nextui-org/divider                                                      @nextui-org/accordion
@nextui-org/divider                                                 2.0.31          2.0.31           2.2.5  node_modules/@nextui-org/divider                                                      @nextui-org/listbox
@nextui-org/divider                                                 2.0.31          2.0.31           2.2.5  node_modules/@nextui-org/divider                                                      @nextui-org/menu
@nextui-org/divider                                                 2.0.31          2.0.31           2.2.5  node_modules/@nextui-org/divider                                                      @nextui-org/react
@nextui-org/dropdown                                                2.1.29          2.1.29           2.3.9  node_modules/@nextui-org/dropdown                                                     @nextui-org/react
@nextui-org/framer-utils                                            2.0.24          2.0.24           2.1.6  node_modules/@nextui-org/framer-utils                                                 @nextui-org/accordion
@nextui-org/framer-utils                                            2.0.24          2.0.24           2.1.6  node_modules/@nextui-org/framer-utils                                                 @nextui-org/calendar
@nextui-org/framer-utils                                            2.0.24          2.0.24           2.1.6  node_modules/@nextui-org/framer-utils                                                 @nextui-org/modal
@nextui-org/framer-utils                                            2.0.24          2.0.24           2.1.6  node_modules/@nextui-org/framer-utils                                                 @nextui-org/navbar
@nextui-org/framer-utils                                            2.0.24          2.0.24           2.1.6  node_modules/@nextui-org/framer-utils                                                 @nextui-org/popover
@nextui-org/framer-utils                                            2.0.24          2.0.24           2.1.6  node_modules/@nextui-org/framer-utils                                                 @nextui-org/react
@nextui-org/framer-utils                                            2.0.24          2.0.24           2.1.6  node_modules/@nextui-org/framer-utils                                                 @nextui-org/tabs
@nextui-org/framer-utils                                            2.0.24          2.0.24           2.1.6  node_modules/@nextui-org/framer-utils                                                 @nextui-org/tooltip
@nextui-org/image                                                   2.0.31          2.0.31           2.2.5  node_modules/@nextui-org/image                                                        @nextui-org/react
@nextui-org/input                                                    2.2.4           2.2.4           2.4.8  node_modules/@nextui-org/input                                                        @nextui-org/autocomplete
@nextui-org/input                                                    2.2.4           2.2.4           2.4.8  node_modules/@nextui-org/input                                                        @nextui-org/react
@nextui-org/kbd                                                     2.0.33          2.0.33           2.2.6  node_modules/@nextui-org/kbd                                                          @nextui-org/react
@nextui-org/link                                                    2.0.34          2.0.34           2.2.7  node_modules/@nextui-org/link                                                         @nextui-org/react
@nextui-org/listbox                                                 2.1.25          2.1.25           2.3.9  node_modules/@nextui-org/listbox                                                      @nextui-org/autocomplete
@nextui-org/listbox                                                 2.1.25          2.1.25           2.3.9  node_modules/@nextui-org/listbox                                                      @nextui-org/react
@nextui-org/listbox                                                 2.1.25          2.1.25           2.3.9  node_modules/@nextui-org/listbox                                                      @nextui-org/select
@nextui-org/menu                                                    2.0.28          2.0.28           2.2.9  node_modules/@nextui-org/menu                                                         @nextui-org/dropdown
@nextui-org/menu                                                    2.0.28          2.0.28           2.2.9  node_modules/@nextui-org/menu                                                         @nextui-org/react
@nextui-org/modal                                                   2.0.39          2.0.39           2.2.7  node_modules/@nextui-org/modal                                                        @nextui-org/react
@nextui-org/navbar                                                  2.0.36          2.0.36           2.2.8  node_modules/@nextui-org/navbar                                                       @nextui-org/react
@nextui-org/pagination                                              2.0.35          2.0.35           2.2.8  node_modules/@nextui-org/pagination                                                   @nextui-org/react
@nextui-org/popover                                                 2.1.27          2.1.27           2.3.9  node_modules/@nextui-org/popover                                                      @nextui-org/autocomplete
@nextui-org/popover                                                 2.1.27          2.1.27           2.3.9  node_modules/@nextui-org/popover                                                      @nextui-org/date-picker
@nextui-org/popover                                                 2.1.27          2.1.27           2.3.9  node_modules/@nextui-org/popover                                                      @nextui-org/dropdown
@nextui-org/popover                                                 2.1.27          2.1.27           2.3.9  node_modules/@nextui-org/popover                                                      @nextui-org/react
@nextui-org/popover                                                 2.1.27          2.1.27           2.3.9  node_modules/@nextui-org/popover                                                      @nextui-org/select
@nextui-org/progress                                                2.0.33          2.0.33           2.2.6  node_modules/@nextui-org/progress                                                     @nextui-org/react
@nextui-org/radio                                                    2.1.4           2.1.4           2.3.8  node_modules/@nextui-org/radio                                                        @nextui-org/react
@nextui-org/react                                                    2.4.6          2.6.11          2.6.11  node_modules/@nextui-org/react                                                        web
@nextui-org/react-rsc-utils                                         2.0.13          2.0.13           2.1.1  node_modules/@nextui-org/react-rsc-utils                                              @nextui-org/aria-utils
